               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12655,            0.029032,             0.04491,           0.0044139,             0.40476,           0.0077301,           0.0013586,            0.065982,            0.019441,            0.028821,              0.0982,              0.0002,              0.0002
                   1,             0.12492,            0.028592,            0.043083,            0.001994,              0.5671,           0.0065899,           0.0011917,            0.061176,            0.018338,            0.028702,            0.095253,           0.0002525,           0.0002525
